user_id	screen_name	account_type	political_affiliation	display_name
109287731	SenatorShaheen	Political - Elected Official	Democrat / Left	Sen. Jeanne Shaheen
1093774442264707072	VincentCrypt46	Political - Other	Republican / Right	Vincent Kennedy
1094713876132872192	MysterySolvent	Political - Other	Democrat / Left	Mystery Solvent
1113828112503115776	ThePubliusUSA	Political - Other	Democrat / Left	A Worried Citizen
1114307317821005826	JohnCooper4Nash	Political - Elected Official	Democrat / Left	Mayor John Cooper
1114631166	ConservaMomUSA	Political - Other	Republican / Right	DrConservaMom
111721601	GovernorBullock	Political - Elected Official	Democrat / Left	Steve Bullock
1127744603061276672	RealMiniAOC	Political - Other	Republican / Right	Mini AOC
1129901605443317760	chicagosmayor	Political - Elected Official	Democrat / Left	Mayor Lori Lightfoot
11347122	GavinNewsom	Political - Elected Official	Democrat / Left	Gavin Newsom
113724715	Politidope	Political - Other	Democrat / Left	Matt Rogers
1141352946623492100	Concealcarrygrl	Political - Other	Republican / Right	Julie.TrumpsGirl
11454572	martingeddes	Political - Other	Republican / Right	Martin Geddes 6%
115105973	SylvesterTurner	Political - Elected Official	Democrat / Left	Sylvester Turner
1152385955187298304	ShannonFreshour	Political - Other	Democrat / Left	Shannon4OH
1152598802873880576	BillHagertyTN	Political - Other	Republican / Right	Bill Hagerty
1157388784301793280	COsweda	Political - Other	Republican / Right	Carlos Osweda
32671625	DerekCressman	Political - Other	Democrat / Left	Derek Cressman
326756275	hasanthehun	Political - Other	Democrat / Left	hasanabi
328756439	ResisterSis20	Political - Other	Democrat / Left	Southern Sister Resister
33235771	MiaFarrow	Political - Other	Democrat / Left	Mia Farrow
33276161	JohnFugelsang	Political - Other	Democrat / Left	John Fugelsang
33435693	IanSams	Political - Other	Democrat / Left	Ian Sams
335060282	ECMcLaughlin	Political - Other	Democrat / Left	Elizabeth C. McLaughlin
3353061012	Jamierodr14	Political - Other	Republican / Right	JamieR Army Girl
33537967	amyklobuchar	Political - Elected Official	Democrat / Left	Amy Klobuchar
3375809956	BadFoxGraphics	Political - Other	Democrat / Left	Bad Fox Graphics
338473859	BrandonBeckham	Political - Other	Republican / Right	Brandon Beckham, Esq.
33888973	MPowersNorrell	Political - Elected Official	Democrat / Left	SC Rep Mandy Powers Norrell
33913156	notcapnamerica	Political - Other	Democrat / Left	chris evans
339351467	WordswithSteph	Political - Other	Democrat / Left	Stephanie Kennedy
3406938525	thebradfordfile	Political - Other	Republican / Right	thebradfordfile TM
341190477	TheRickyDavila	Political - Other	Democrat / Left	Ricky Davila
341194704	SteveGuest	Political - Other	Republican / Right	Steve Guest
342863309	BetoORourke	Political - Elected Official	Democrat / Left	Beto O'Rourke
34367582	TimRunsHisMouth	Political - Other	Republican / Right	Tim Young
34756550	CHIZMAGA	Political - Other	Republican / Right	CHIZ
35039490	MarkDice	Political - Other	Republican / Right	Mark Dice
35218566	AriFleischer	Political - Other	Republican / Right	Ari Fleischer
3530404094	DavidJHarrisJr	Political - Other	Republican / Right	David J Harris Jr
357606935	ewarren	Political - Elected Official	Democrat / Left	Elizabeth Warren
358545917	Cernovich	Political - Other	Republican / Right	Cernovich
3614519775	lpmitchellrtr	Political - Other	Republican / Right	Lary Mitch
3622368202	JohnFetterman	Political - Elected Official	Democrat / Left	John Fetterman
36686040	RepMaxineWaters	Political - Elected Official	Democrat / Left	Maxine Waters
3740820863	patton6966	Political - Other	Republican / Right	Mark Taylor
377609596	ericswalwell	Political - Elected Official	Democrat / Left	Eric Swalwell
38284349	RealWayneRoot	Political - Other	Republican / Right	Wayne Allyn Root
38349184	CAgovernor	Political - Elected Official	Democrat / Left	Office of the Governor of California
386001751	KT_So_It_Goes	Political - Other	Democrat / Left	kilgore trout, new tone haver
39076082	drawandstrike	Political - Other	Republican / Right	Who's Gonna Be Lucky Indicted 3 - Brian Cates
39344374	DonaldJTrumpJr	Political - Other	Republican / Right	Donald Trump Jr.
396720850	ZaneZodrow	Political - Other	Democrat / Left	Zane Zodrow
39753444	hrenee80	Political - Other	Republican / Right	Heather
3995778614	KamVTV	Political - Other	Republican / Right	Kambree
402888514	djrothkopf	Political - Other	Democrat / Left	David Rothkopf
41266395	GovernorLittle	Political - Elected Official	Republican / Right	Brad Little
424664120	LotusOak2	Political - Other	Republican / Right	LotusOak
43014978	dvillella	Political - Other	Democrat / Left	D Villella❄️
432895323	LindseyGrahamSC	Political - Elected Official	Republican / Right	Lindsey Graham
43467353	Johnson4Dallas	Political - Elected Official	Democrat / Left	Mayor Eric Johnson
435232010	danielsgoldman	Political - Other	Democrat / Left	Daniel Goldman
43910797	SenSherrodBrown	Political - Elected Official	Democrat / Left	Sherrod Brown
4459642286	shossy2	Political - Other	Democrat / Left	🌊The Honorable Sheryl Lynne
447200783	G_TheOriginal	Political - Other	Republican / Right	🎼𝔾 ♯ ᵗʰᵉꃪᴿᴵᴳᴵᴺᴬᴸ
4541535439	jennycohn1	Political - Other	Democrat / Left	Jennifer Cohn✍🏻
45490102	markpoloncarz	Political - Elected Official	Democrat / Left	Mark Poloncarz
45499837	KenTremendous	Political - Other	Democrat / Left	Ken Tremendous
45676731	TimMurtaugh	Political - Other	Republican / Right	Tim Murtaugh - Download the Trump 2020 app today!
46085118	BelkissObadia	Political - Other	Democrat / Left	Belkiss Obadia💎
461697741	ChrisLu44	Political - Other	Democrat / Left	Chris Lu
466645191	CloydRivers	Political - Other	Republican / Right	Cloyd Rivers
466864852	BoSnerdley	Political - Other	Republican / Right	Bo Snerdley
467726691	CheriJacobus	Political - Other	Democrat / Left	Cheri Jacobus
467823431	RepJeffries	Political - Elected Official	Democrat / Left	Hakeem Jeffries
4699304792	slcmayor	Political - Elected Official	Democrat / Left	SLC Mayor Erin Mendenhall
471672239	KellyannePolls	Political - Other	Republican / Right	Kellyanne Conway
471677441	gtconway3d	Political - Other	Republican / Right	George Conway
4734965658	clarkfornorman	Political - Elected Official	Democrat / Left	Mayor Breea Clark
47379354	leahmcelrath	Political - Other	Democrat / Left	Leah McElrath 🏳️‍🌈
4765364386	ChuckCallesto	Political - Other	Republican / Right	Chuck Callesto
47739450	ByronYork	Political - Other	Republican / Right	Byron York
47747074	brianschatz	Political - Elected Official	Democrat / Left	Brian Schatz
