scrub	user_id	name	screen_name	location	description	url	protected	followers_count	friends_count	listed_count	created_at	favourites_count	utc_offset	time_zone	geo_enabled	verified	statuses_count	lang	contributors_enabled	is_translator	is_translation_enabled	profile_background_color	profile_background_image_url	profile_background_image_url_https	profile_background_tile	profile_image_url	profile_image_url_https	profile_banner_url	profile_link_color	profile_sidebar_border_color	profile_sidebar_fill_color	profile_text_color	profile_use_background_image	has_extended_profile	default_profile	default_profile_image	following	follow_request_sent	notifications	translator_type	n	prop
0	28785486	ABC News	ABC	New York City / Worldwide	All the news and information you need to see, curated by the @ABC News team. Watch full ABC News broadcasts on @Hulu: https://t.co/w3wQ1O1Szs	https://t.co/26XEt8onYo	FALSE	16698473	503	62833	4/4/09 12:40	23			TRUE	TRUE	353371		FALSE	FALSE	TRUE	6E8EB5	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/1082358814819536896/19QbYCgF_normal.jpg	https://pbs.twimg.com/profile_images/1082358814819536896/19QbYCgF_normal.jpg	https://pbs.twimg.com/profile_banners/28785486/1505493568	336699	FFFFFF	DDEEF6	333333	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	regular	123	0.278280543
0	14173315	NBC News	NBCNews	New York, NY	News updates from around the 🌎, all day, every day. Home of @NBCAsianAmerica, @NBCBLK, @NBCLatino and @NBCOUT.	https://t.co/Z73is4fJ3x	FALSE	8534994	1843	47990	3/18/08 23:19	785			TRUE	TRUE	310169		FALSE	FALSE	FALSE	62131	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	TRUE	http://pbs.twimg.com/profile_images/1338497918387572736/DXHbTEJG_normal.jpg	https://pbs.twimg.com/profile_images/1338497918387572736/DXHbTEJG_normal.jpg	https://pbs.twimg.com/profile_banners/14173315/1593479928	5172A0	FFFFFF	FFFFFF	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	none	112	0.253393665
0	5988062	The Economist	TheEconomist	London	News and analysis with a global perspective. Subscribe here: https://t.co/mcHddSSy9U	https://t.co/pN0OAmG4SP	FALSE	25667941	134	117519	5/12/07 13:04	155			FALSE	TRUE	268363		FALSE	FALSE	TRUE	DFDFDF	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	TRUE	http://pbs.twimg.com/profile_images/879361767914262528/HdRauDM-_normal.jpg	https://pbs.twimg.com/profile_images/879361767914262528/HdRauDM-_normal.jpg	https://pbs.twimg.com/profile_banners/5988062/1626356191	E3120B	FFFFFF	DDEEF6	2C2E2D	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	none	111	0.251131222
0	87818409	The Guardian	guardian	London	The need for independent journalism has never been greater. Become a Guardian supporter: https://t.co/gWyuUVlObq	https://t.co/c53pnmnuIT	FALSE	9801991	1072	65981	11/5/09 23:49	137			FALSE	TRUE	687407		FALSE	FALSE	TRUE	FFFFFF	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/1175141826870861825/K2qKoGla_normal.png	https://pbs.twimg.com/profile_images/1175141826870861825/K2qKoGla_normal.png	https://pbs.twimg.com/profile_banners/87818409/1620214786	5789	FFFFFF	CAE3F3	333333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	regular	110	0.248868778
0	14293310	TIME	TIME	""	News and current events from around the globe. Subscribe: https://t.co/yT0dueLEm0	https://t.co/39rKBtbZ0j	FALSE	18151403	506	103708	4/3/08 13:54	542			TRUE	TRUE	374924		FALSE	FALSE	TRUE	CC0000	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	TRUE	http://pbs.twimg.com/profile_images/1367496192662331402/7ye6OsYx_normal.jpg	https://pbs.twimg.com/profile_images/1367496192662331402/7ye6OsYx_normal.jpg	https://pbs.twimg.com/profile_banners/14293310/1625747384	DE3333	0	D9D9D9	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	regular	104	0.235294118
0	15012486	CBS News	CBSNews	New York, NY	Your source for original reporting and trusted news.	https://t.co/VGut7r2Vg5	FALSE	8143704	575	54114	6/5/08 0:54	305			FALSE	TRUE	303864		FALSE	FALSE	TRUE	D9DADA	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/1374394535883673604/4VIECtDH_normal.jpg	https://pbs.twimg.com/profile_images/1374394535883673604/4VIECtDH_normal.jpg	https://pbs.twimg.com/profile_banners/15012486/1616515622	B12124	FFFFFF	EAEDF0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	none	99	0.2239819
0	2836421	MSNBC	MSNBC	""	The place for in-depth analysis, political commentary and diverse perspectives. Home of @MSNBCDaily.	https://t.co/YBwtJIhwY3	FALSE	4263640	776	28677	3/29/07 13:15	816			TRUE	TRUE	255746		FALSE	FALSE	FALSE	0	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/1321089811290202119/6QEBEjWk_normal.jpg	https://pbs.twimg.com/profile_images/1321089811290202119/6QEBEjWk_normal.jpg	https://pbs.twimg.com/profile_banners/2836421/1617036523	0CB1C7	FFFFFF	EEEEEE	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	regular	86	0.194570136
0	2097571	CNN International	cnni	Everywhere	Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.	http://t.co/kdkv08KSgi	FALSE	12460228	365	44986	3/24/07 10:48	132			TRUE	TRUE	257260		FALSE	FALSE	FALSE	3D4544	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/926050400062631936/Rvynw19f_normal.jpg	https://pbs.twimg.com/profile_images/926050400062631936/Rvynw19f_normal.jpg	https://pbs.twimg.com/profile_banners/2097571/1497863018	4287	FFFFFF	EEEEEE	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	none	85	0.192307692
0	9300262	POLITICO	politico	Washington, D.C.	"Nobody knows politics like POLITICO. Got a news tip for us? 
👉 https://t.co/fp9nugJuND"	https://t.co/PPMyQsPlIg	FALSE	4502803	1593	42889	10/8/07 0:29	94			TRUE	TRUE	355808		FALSE	FALSE	FALSE	E6E6E6	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	TRUE	http://pbs.twimg.com/profile_images/677177503694237697/y6yTzWn6_normal.png	https://pbs.twimg.com/profile_images/677177503694237697/y6yTzWn6_normal.png	https://pbs.twimg.com/profile_banners/9300262/1479760803	DD2E44	FFFFFF	DDEEF6	333333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	regular	85	0.192307692
0	5392522	NPR	NPR	""	News. Arts & Life. Music & more. This is NPR. 🕵️ Securely send us news tips: https://t.co/qfEoMDe1Hw	https://t.co/NacrixPEkp	FALSE	8712110	68488	69115	4/22/07 5:10	2625			FALSE	TRUE	218235		FALSE	FALSE	TRUE	9AE4E8	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	FALSE	http://pbs.twimg.com/profile_images/1389203506842714114/B7U4lxDE_normal.jpg	https://pbs.twimg.com/profile_images/1389203506842714114/B7U4lxDE_normal.jpg	https://pbs.twimg.com/profile_banners/5392522/1575653448	0000FF	87BC44	E0FF92	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	none	83	0.187782805
