"","twitter_handle","user_id","tweetscore","X1","X2"
"37","ggreenwald","16076032",0.27263166258882,-3.01553833675563,-2.46979947129924
"38","nataliesurely","243800816",-1.61827117161344,-4.18304837503364,1.13015344551687
"39","profwolff","78768913",-0.5680931552208,-3.20910911601308,-0.414808296309127
"40","cornelwest","36743910",-1.23487291432279,-2.58151779384659,-0.534612603551834
"41","katearonoff","637196658",-1.9998170082398,-3.10445690635474,1.36892525601692
"42","shaunking","755113",-1.83224540921857,-2.50708284559655,0.378317694750224
"43","jbouie","14190948",-2.30885738576849,-1.0115569732962,1.11983753714743
"44","ashleyfeinberg","165944767",0.683482964194711,-2.17960800497246,1.92364755341436
"45","jeremyscahill","23839835",0.294374089638105,-2.57643343534908,0.424145550340062
"46","trillburne","322430128",-0.851354007584432,-5.60913674070184,1.93831976895029
"47","libbycwatson","26579715",NA,-2.97933232920824,2.06344595606098
"48","feraljokes","18194194",-1.26447376470257,-5.21605138866403,2.34596103000005
"49","eoinhiggins_","277880167",-1.74458829771262,-4.92043558647378,1.80238481291443
"50","rbreich","148529707",-1.4567424976128,-0.895258213277204,1.56850038066046
"51","maxblumenthal","53789862",-0.234539203116492,-4.66570679620044,-1.77044658347839
"52","anakasparian","23865382",-1.41134885684361,-3.31315082433111,-0.431435776761042
"53","robrousseau","18000989",-1.43042753249032,-6.14507352885409,1.8221715615794
"54","ezraklein","18622869",-1.00004870457418,0.0840058747761319,0.256374656363103
"55","davidcorndc","15220768",0.411248871587763,0.923307188478908,1.08608765293158
"56","pareene","50149303",-1.4697916189417,-2.44249279246312,1.40119853153087
"57","carlbeijer","913252447",-1.67654706697431,-5.3985698056495,1.12226074594577
"58","anandwrites","24889586",0.164980485408603,-1.03940541363101,1.38637487630721
"59","liz_franczak","21926927",0.566348332410305,-6.6686184938412,0.868685464496664
"60","peterdaou","18464266",-0.798789834832835,-2.04670086439857,0.492688764959705
"61","emmavigeland","742453163098296320",-1.7596270983609,-2.52713945793279,0.660381982278804
"62","jamie_elizabeth","17985093",-1.44715153646084,-4.34986533512532,0.988621601328461
