id_117	user_id	handle
MH11729377	40302336	RepJerryNadler
MS11729373	18695134	SenatorMenendez
MH11729368	82453460	BennieGThompson
MH11729346	305216911	RepBobbyRush
MS11729345	600463589	MikeCrapo
MH11729339	249410485	SanfordBishop
MH11729323	22545491	KenCalvert
MH11729317	479872233	RepRoybalAllard
MH11729312	249348006	RepAnnaEshoo
MS11729147	29442313	SenSanders
MS11729147	216776631	BernieSanders
MS11729142	486694111	SenJackReed
MH11729109	140519774	rosadelauro
MH11729106	36686040	RepMaxineWaters
MH11722156	36424664	NikemaWilliams
MH11722156	1345461797361504259	RepNikema
MH11722155	489856457	Bethvanduyne
MH11722155	1339633259349745670	RepBethVanDuyne
MH11722154	1247612029	RitchieTorres
MH11722154	1276403757224546304	RepRitchie
MH11722153	1343646545955213312	RepStricklandWA
MH11722153	1206654366758785024	StricklandforWA
MH11722152	1122934522134315009	MichelleSteelCA
MH11722152	1343740146630451200	RepSteel
MH11722151	1205364420	Victoria_Spartz
MH11722151	1344845201479663621	RepSpartz
MH11722150	40282700	MaElviraSalazar
MH11722150	1325928411689349120	RepMariaSalazar
MH11722149	3806081652	DeborahRossNC
MH11722149	1348683154815655940	RepDeborahRoss
MH11722148	1344751420139040783	RepRosendale
MH11722147	1021216905795899392	AugustPfluger
MH11722147	1341120751399809026	RepPfluger
MH11722146	779104195	BurgessOwens
MH11722146	1344481217685692416	RepBurgessOwens
MH11722145	272482466	JayObernolte
MH11722145	1291597452357771264	TeamObernolte
MH11722144	1343578440977494018	RepMarieNewman
MH11722143	3299995136	SheriffTNehls
MH11722143	1347318288850825217	RepTroyNehls
MH11722142	1346205046036377601	RepMrvan
MH11722141	1337452596093587462	RepBlakeMoore
MH11722140	1339006078688825344	RepBarryMoore
MH11722139	1345807954604412929	RepMMM
MH11722139	18131106	millermeeks
MH11722138	1343656635907125250	RepMaryMiller
MH11722137	1334164871420796928	RepMeijer
MH11722136	1344032292432437248	RepLisaMcClain
MH11722135	936626346553413633	KathyManningNC
MH11722135	1337115670161608712	RepKManning
MH11722134	1345825008887721986	RepMann
MH11722133	757862089	NMalliotakis
MH11722133	1344750588026900481	RepMalliotakis
MH11722132	914815520842616834	NancyMace
MH11722132	1343597700542038017	RepNancyMace
MH11722131	1345147845926670337	RepTeresaLF
MH11722131	1128147829606600706	TeresaForNM
MH11722130	1082329240681492481	JakeLaTurner
MH11722130	1345850704800468993	RepLaTurner
MH11722129	2355919591	YoungKimCA
MH11722129	1344677401465397249	RepYoungKim
MH11722128	4863545294	kaikahele
MH11722127	1345883634046279681	RepMondaire
MH11722127	872143958847045632	MondaireJones
MH11722126	1345103905869455361	RepSaraJacobs
MH11722126	1656913327	SaraJacobsCA
MH11722125	1201953403099893760	RonnyJacksonTX
MH11722125	1341903465610686464	RepRonnyJackson
MH11722124	18189966	hinsonashley
MH11722124	1340783304304410625	RepAshleyHinson
MH11722123	898787903609765890	Yvette4congress
MH11722123	1344416719260016641	RepHerrell
MH11722122	1345787285179162624	RepHarshbarger
MH11722122	1237911282440982528	DHarshbargerTN1
MH11722121	1344356576786866176	RepMTG
MH11722121	826065164504006657	mtgreenee
MH11722120	1345536897838436353	RepBobGood
MH11722120	1191470062340845568	GoodForCongress
MH11722119	1124044084669288450	TonyGonzales4TX
MH11722119	1343627416120532992	RepTonyGonzales
MH11722118	1343679195034103808	RepCarlos
MH11722117	1344349650447433729	RepGarbarino
MH11722116	1343664721384398849	RepFranklin
MH11722115	1169399788539928576	FitzgeraldforWI
MH11722114	1344375287484723205	RepFischbach
MH11722114	1159929043816460288	FischbachMN7
MH11722113	1345135363761852416	RepFeenstra
MH11722113	23764160	RandyFeenstra
MH11722112	1343258042704527362	RepPatFallon
MH11722112	256157258	FallonForTexas
MH11722111	96015533	ByronDonalds
MH11722109	1344007696555663360	RepCawthorn
MH11722109	1207874097251639296	CawthornforNC
MH11722108	2237925464	CarlForAlabama
MH11722108	1341091420439015424	RepJerryCarl
MH11722107	1214912699311837184	Kat_Cammack
MH11722107	1344325638983987201	RepKatCammack
MH11722106	1002630999052865536	RepCori
MH11722106	4696552878	CoriBush
MH11722105	1138076821533155328	JamaalBowmanNY
MH11722105	1344389506963808264	RepBowman
MH11722104	1343620645452595200	RepBourdeaux
MH11722104	881222783170228224	Carolyn4GA7
MH11722103	1201670995435646976	laurenboebert
MH11722103	1342989756611907584	RepBoebert
MH11722102	32289500	stephaniebice
MH11722102	1344260196227555334	RepBice
MH11722101	1216104257989963776	CliffBentz
