"","screen_name","user_id"
"483","ScottGottliebMD",40156330
"484","seanhannity",41634520
"485","WindsorMann",77413975
"486","ZerlinaMaxwell",21879831
"487","20committee",635608354
"488","CharlieCookDC",2657143946
"489","databyler",2790869677
"490","David_Gergen",243291022
"491","EsotericCD",161163311
"492","IChotiner",571297251
"493","JimSwiftDC",15146659
"494","joanwalsh",1106501
"495","joshgerstein",64916983
"496","juliettekayyem",21461359
"497","kdrum",18276341
"498","MarkHertling",4484115214
"499","megynkelly",110445334
"500","Milbank",19608273
"501","mjs_DC",88215673
"502","mlcalderone",63004503
"503","PatrickRuffini",1050111
"504","radleybalko",15816595
"505","reihan",14275562
"506","scottlincicome",100250921
"507","selectedwisdom",187289134
"508","Sifill_LDF",1507338108
"509","stengel",8.07358e+17
"510","Sulliview",460470940
"511","ToluseO",168290603
"512","zeynep",65375759
"513","agearan",15765991
"514","anitakumar01",48581849
"515","AriFleischer",35218566
"516","awprokop",139186916
"517","bdomenech",14989516
"518","CHSommers",334921581
"519","cwarzel",20178419
"520","DavidPriess",2521546890
"521","dylanmatt",15950086
"522","hughhewitt",15075999
"523","imillhiser",26165922
"524","JVLast",611816381
"525","keithboykin",21728303
"526","KimStrassel",384910109
"527","MattGrossmann",2366113867
"528","maureendowd",59145948
"529","MichaelCohen212",52136185
"530","MilesTaylorUSA",2974742145
"531","paulwaldman1",48797538
"532","RalstonReports",14413466
"533","rtraister",19086859
"534","SamWangPhD",367873443
"535","steve_vladeck",380268462
"536","TheRevAl",42389136
"537","IngrahamAngle",50769180
"538","dbongino",232901331
"539","JudgeJeanine",29458079
"540","DineshDSouza",91882544
"541","JesseBWatters",56561449
"542","BillOReilly",23970102
"543","TomFitton",18266688
"544","JackPosobiec",592730371
"545","kimguilfoyle",25101996
"546","GovMikeHuckabee",15416505
"547","LouDobbs",26487169
"548","SaraCarterDC",25202268
"549","RealCandaceO",8.78248e+17
"550","charliekirk11",292929271
"551","greggutfeld",28628850
"552","seanmdav",36529101
"553","DLoesch",7702542
"554","newtgingrich",20713061
"555","SarahHuckabee",5509762
"556","KatiePavlich",48459553
"557","RyanAFournier",166751745
"558","TomiLahren",468646961
"559","BuckSexton",334715818
"560","MattWalshBlog",1500129642
"561","glennbeck",17454769
"562","larryelder",195271137
"563","RubinReport",18379614
"564","bennyjohnson",15212187
"565","BrandonStraka",52338305
"566","Cernovich",358545917
"567","GreggJarrett",21536398
"568","michellemalkin",15976697
"569","MrAndyNgo",2835451658
"570","w_terrence",47293791
"571","AnnCoulter",196168350
"572","michaeljknowles",31047836
"573","ScottPresler",931286316
"574","scrowder",19091173
"575","jsolomonReports",523248016
"576","SebGorka",2417586104
"577","joelpollak",10292132
"578","Liz_Wheeler",264361128
"579","DiamondandSilk",2908170952
"580","KassyDillon",178999981
"581","TheRightMelissa",7.6239e+17
"582","mercedesschlapp",42670638
"583","redsteeze",393469195
"584","AndrewCMcCarthy",130684893
"585","JamesOKeefeIII",16989178
"586","KurtSchlichter",18089606
"587","mschlapp",138809881
"588","conservmillen",7.04391e+17
"589","RealSaavedra",8.12136e+17
"590","ScottAdamsSays",2853461537
"591","stillgray",16106584
"592","MariaBartiromo",208155240
"593","PrisonPlanet",18643437
"594","stclairashley",2874102076
"595","Timcast",27000730
"596","DanaPerino",27311044
"597","davidharsanyi",15302774
"598","ericbolling",14839147
"599","gatewaypundit",19211550
"600","ChuckRossDC",119837703
"601","ComfortablySmug",17060573
"602","GeraldoRivera",246500501
"603","johncardillo",27995424
"604","xan_desanctis",520497278
"605","ChanelRion",2438831503
"606","EmeraldRobinson",3932768472
"607","HeyTammyBruce",22956220
"608","jasoninthehouse",17800215
"609","JesseKellyDC",34082620
"610","KyleKashuv",8.62493e+17
"611","MarkDice",35039490
"612","RaheemKassam",125128723
"613","willchamberlain",21722318
"614","ACTBrigitte",7.22529e+17
"615","andrewklavan",107210947
"616","DavidJHarrisJr",3530404094
"617","paulsperry_",7.3961e+17
"618","politicalelle",6.95054e+17
"619","robbystarbuck",16523905
"620","CalebJHull",239005322
"621","JaySekulow",171632862
"622","seanspicer",20776147
"623","SidneyPowell1",586707638
"624","trish_regan",138182116
"625","DeAnna4Congress",16740433
"626","hodgetwins",18584875
"627","RitaPanahi",25235151
"628","TheLaurenChen",7.70619e+17
