meta_id	user_id	screen_name	moc_117	moc_116	pundit	covid_elite	president	media	candidate	governor	official	phi	phi_2
MS11729935	221162525	SenToomey	1	1	0	0	0	0	0	0	0	0.5056330289769001	-0.42093392062338103
MH11729911	24195214	janschakowsky	1	1	0	0	0	0	0	0	0	-0.6631657556499115	-1.066942759795057
MH11729910	76132891	CongMikeSimpson	1	1	0	0	0	0	0	0	0	0.8771544252541473	-2.208460164042677
MH11729908	50452197	RepJohnLarson	1	1	0	0	0	0	0	0	0	-0.42122022407597143	-1.4843207351845695
MH11729903	161411080	gracenapolitano	1	1	0	0	0	0	0	0	0	-0.39904280602975045	-2.2246540804597927
MH11729901	303861808	RepThompson	1	1	0	0	0	0	0	0	0	-0.3328425256082247	-2.2031183900749354
MH11729778	248735463	RepBarbaraLee	1	1	0	0	0	0	0	0	0	-0.9789957223172598	-0.33808038649889843
MH11729776	22812754	RepGregoryMeeks	1	1	0	0	0	0	0	0	0	-0.4314242335983805	-1.6899179458849136
MH11729769	112740986	RepRonKind	1	1	0	0	0	0	0	0	0	-0.14745291399840693	-1.6582918814633063
MH11729768	58928690	RepAdamSmith	1	1	0	0	0	0	0	0	0	-0.4627308778913338	-1.4730080596319857
MH11729762	161743731	RepKayGranger	1	1	0	0	0	0	0	0	0	1.2935417931384197	-2.0090459968835708
MH11729760	19926675	RepKevinBrady	1	1	0	0	0	0	0	0	0	1.5320147066270968	-1.2251034794485454
MH11729759	24735461	PeteSessions	1	0	0	0	0	0	0	0	0	1.4892935659745055	-1.171582493727622
MS11729754	296361085	SenJohnThune	1	1	0	1	0	0	0	0	0	1.1962490820276903	-0.611508890331491
MH11729741	74508260	BillPascrell	1	1	0	1	0	0	0	0	0	-0.746774331806063	-0.8336326841048568
MS11729735	21269970	RoyBlunt	1	1	0	0	0	0	0	0	0	0.9257107140345279	-0.9938721755593424
MS11729732	20113797	stabenow	1	1	0	0	0	0	0	0	0	-0.486348644997135	-0.6826126133226016
MS11729732	76456274	SenStabenow	1	1	0	0	0	0	0	0	0	-0.486348644997135	-0.6826126133226016
MH11729729	242426145	RepMcGovern	1	1	0	0	0	0	0	0	0	-0.739285593566372	-0.7546871503035406
MS11729722	18632666	JerryMoran	1	1	0	0	0	0	0	0	0	0.7932666377676401	-1.2180056641021053
MH11729717	789244177	RepDannyDavis	1	1	0	0	0	0	0	0	0	-0.42719083138091574	-1.9306258549174353
MH11729710	28599820	RepDianaDeGette	1	1	0	0	0	0	0	0	0	-0.2780651179084645	-1.2758563448860951
MH11729707	30216513	BradSherman	1	1	0	0	0	0	0	0	0	-0.5356661643381165	-1.4811838408164433
MH11729701	76452765	Robert_Aderholt	1	1	0	0	0	0	0	0	0	1.3603422596679682	-2.7164684531883085
MH11729588	15954997	repblumenauer	1	1	0	0	0	0	0	0	0	-0.6664763951521425	-1.0754489831891523
MH11729573	80612021	JacksonLeeTX18	1	1	0	0	0	0	0	0	0	-0.5507479978927552	-1.0387201381486788
MH11729571	153944899	RepLloydDoggett	1	1	0	0	0	0	0	0	0	-0.284644468025716	-0.916528400459732
MS11729566	432895323	LindseyGrahamSC	1	1	0	1	0	0	1	0	0	0.27610687814856993	0.6955944544914182
MS11729566	14845376	GrahamBlog	1	0	0	0	0	0	0	0	0	0.27610687814856993	0.6955944544914182
MH11729561	39249305	USRepMikeDoyle	1	1	0	0	0	0	0	0	0	-0.19222760733581068	-1.3882382429618334
MH11729550	237750442	RepSteveChabot	1	1	0	0	0	0	0	0	0	1.2692867437276678	-2.1669071452411788
MS11729548	21157904	SenatorBurr	1	1	0	0	0	0	0	0	0	0.4831797938649158	-0.6630163577647881
