screen_name	user_id	politician	phi	phi_2
andreatantaros	36452050	0	-1.194591991094319	-1.3474456996504156
andrewbreitbart	18280993	0	-1.098275032561471	-0.7603081319415018
andrewluck23	23468661	0	-1.5066998026352503	-0.7103452627914548
andywendt	11102352	0	-1.3168621482966938	-0.8232083165512715
annakendrick47	59949396	0	1.0251031172892668	-0.6726667988866502
anncoulter	196168350	0	-0.8199413462501867	-1.2315481574666836
anncurry	20109973	0	0.8451707630659152	-0.42862308731510507
anndromney	263758909	0	-0.8662397114274835	-0.925563140094451
annebayefsky	342894187	0	-1.0691384841508849	-0.9994688719811909
ap	51241574	0	0.7674985247311457	-0.5134125562142671
appsame	242618658	0	-1.2905148247204932	-0.8835236093635609
april_mg	399179578	0	-1.5223133814488143	-0.9427139186686473
arcticfox2016	101264587	0	-1.3917093261831026	-0.9569362443828132
ariannahuff	21982720	0	0.9719116725647127	-0.4256535353829204
ariberman	15952856	0	1.1299977065843345	0.16823099976992625
aridavidusa	40443752	0	-1.3971780290579172	-0.7858051877629194
arifleischer	35218566	0	-0.2761853274447906	-0.3886195742847791
arimelber	15441965	0	1.0819036180015897	-0.024655643868222273
arlenwms	20009204	0	-1.3478192244516751	-0.5364340881373576
askgeorge	7356562	0	0.6659348760311985	1.4348920624295307
assholeofday	1377719425	0	1.1383527651398206	-0.09517312553217738
aterkel	15727317	0	0.9450315217467795	0.21848291004849965
athudd	15722673	0	-1.4428868325988495	-0.79059825475638
austinscottga08	234797704	1	-0.38163343154413093	2.5607852714184194
azizansari	6480682	0	1.0449351533529687	-0.6372044968288836
bachusal06	78431501	0	-0.3889136944740238	2.2344184470659063
bannerite	19088288	0	1.1220652621163498	0.22137009149527762
barackobama	813286	1	1.011348168721473	-0.585016978868873
barbaraboxer	15939889	1	1.0589449497523125	0.2331889682180655
barneyfranken	100638300	1	-1.3561475451889435	-1.0244175506769022
barracudamama	73657657	0	-1.3660059043706148	-0.992588206514532
bbcbreaking	5402612	0	0.8044917726805044	-0.56071963430688
bbcworld	742143	0	0.8231270995218354	-0.5594647108078794
benhowe	64088396	0	-0.5874937680106777	-0.3844791062666135
benjaminspector	15891841	0	1.0027698217481713	0.2894216450642828
benjealous	43638469	0	1.0771473503392452	0.12412138977269296
benshapiro	17995040	0	-0.8427024201833527	-0.9669365526065433
bernardgoldberg	27382597	0	-1.1969578211202763	-1.0826016595972439
betseyross	33811812	0	-1.4395726711754764	-0.583572875406256
bettemidler	139823781	0	1.1127212926988306	-0.4940103704976445
biggovt	57428429	0	-1.227121730208755	-0.78983537285522
billcassidy	55677432	0	-0.17505323788246077	1.0298481223833222
billclinton	1330457336	1	1.0292395798405747	-0.6718014045209657
billclintonthof	942868836	0	-1.3577937793946415	-0.9116543228134181
billgates	50393960	0	0.8144470390608138	-0.6290969756137559
billhemmer	21010214	0	-1.1019458392044164	-1.1656529934243613
billmaher	19697415	0	1.0623734598119996	-0.5644471683496729
billmckibben	21786618	0	1.1121125059362356	-0.04951258610579491
billmoyershq	15667291	0	1.1267391146922145	-0.0344771585356725
billpostmus	379962842	0	-1.2004736934703886	-0.8437739783970918
billyhallowell	14282169	0	-1.0630584513183292	-0.7099823495456156
billyraybryant	878916812	0	-1.485786061784582	-0.8268134701490681
blackrepublican	18294521	0	-1.0659302237726744	-0.7608624929483141
bloggingcaesar	41280377	0	-1.3841054600270506	-0.8260321431631793
bluedupage	41186732	0	1.0832595153828068	0.351471230909018
bluegrasspundit	21044127	0	-1.2778890129650304	-0.5910209012990868
bluenredstate	552355237	0	1.1116932416378984	0.2387240552508668
bluewaterdays	24645354	0	-1.3511091472468217	-0.8148918332516117
boarhead1	543373179	0	-1.453687866156541	-0.7624741324800955
bobbyjindal	17078632	0	-0.8761207143487837	-0.7250777186364534
bobg231	264268489	0	-1.3696708250755278	-0.9716846072659707
boblatta	15394954	0	-0.44167459184269997	2.0345894126603747
boldprogressive	25704351	0	1.120964823521142	0.1382634715481709
booyahboyz	361859989	0	-1.460499578670155	-0.7772091172717708
borowitzreport	17293897	0	1.098349023154581	-0.3082491903175555
bosshoggusmc	22966253	0	-1.37400986275106	-0.7941395238909367
bradaschenck	15195679	0	1.0441078503660983	0.2738222997779341
bradmd	24914494	0	-1.3645761619551264	-0.5309424139309384
bradsherman	30216513	0	0.8183483631577152	1.10245803276258
bradthor	20748745	0	-1.2061316544423866	-0.9855017565432483
braveconwarrior	329323059	0	-1.4058677429356525	-1.058377601326853
bravelad	16703058	0	-1.1530295027928865	-0.9197496508600012
breakingnews	6017542	0	0.5537177595245206	-0.5787018649148709
breitbartnews	457984599	0	-0.9640121032245071	-1.1730371116539382
bretbaier	18646108	0	-0.8965206602264464	-1.1201145026929216
brithume	112047805	0	-0.9697098781983863	-1.1439551688204177
brookingsinst	151106990	0	0.789522039422186	-0.019661534529904073
brucebraley	29293808	1	0.6348047709326119	0.6446716835128113
buzzfeed	5695632	0	0.9202846996006655	-0.5157056869867263
bwilliams	173999134	0	0.8442465182969303	-0.3384939907927562
byronyork	47739450	0	-0.9574602116507994	-0.7621312187773307
cafalk	49388157	0	1.0807518651148311	0.38729881663580723
callisto1947	208083510	0	-1.2009173293554876	-1.128540766056682
callout4	990627116	0	NA	NA
camanpour	69181624	0	0.9371402360273104	-0.3321064535278461
candicelanier	107633302	0	-1.3610937269889196	-0.7203250103980916
candicemiller	15281676	1	-0.3444017883517198	2.191789896546269
candilissa	2987787144	0	-0.2249193597341138	-0.2111894519631046
cantwellpress	3143431748	1	NA	NA
capaction	15554922	0	1.0660341869313377	0.28217128348012344
capehartj	97474887	0	1.0488318575098272	-0.05387838759142409
captivatingnews	292374563	0	1.0098897749369646	0.21471493085414475
captyonah	376388082	0	-1.4585476221225897	-0.8963701261467506
carltoddhand	42304448	0	-1.3892631958732304	-0.6167846387992293
carrieffisher	75641903	0	1.000549031282509	-0.622702809923154
carrollstandard	21343653	0	-1.3323190646358893	-0.8811362935257633
cathymcmorris	17976923	1	-0.45381929848689334	1.08149341716262
catoinstitute	15450996	0	-0.5964327295211354	-0.45622375860599085
catwahler	88494677	0	-1.4461679763149724	-0.92965675180166
cbrangel	21312077	1	0.8187278930319292	1.031644547603488
cbsnews	15012486	0	0.6859591249846434	-0.5004849489309829
cecilerichards	17011177	0	1.1665421814119261	-0.08881815474083297
chakafattah	48086014	0	0.7478693361962245	1.286127168163112
change	15947602	0	0.9595619634130694	-0.33934774469038054
charlesmblow	20772763	0	1.1595621593284875	-0.14200427813096544
charlesmunn1	379869831	0	0.9412484579038967	0.2152709981484374
charliedaniels	23798694	0	-1.190161272690944	-1.0935476405671298
chasd3	42834939	0	-1.4809829693020276	-0.8151792154195344
chelliepingree	14984637	1	0.8825921043181159	1.11885010251323
chelseaclinton	757303975	0	1.109180456676503	-0.5206314422221378
cher	124003770	0	1.0571839883811591	-0.5325905353259804
chris_1791	312149882	0	-1.3198444994803877	-0.9198934923910262
chriscoons	15324851	1	0.7140892560990648	1.2447041009335091
chriscuomo	22799750	0	0.8517352943505815	-0.3007481701822718
chrisjzullo	321774180	0	1.142180248786819	0.14388714364271843
chrislhayes	4207961	0	1.0997282876622538	-0.31316749277277045
chrisloesch	491461409	0	-1.2934974484398567	-0.9541871071038915
chrismurphyct	150078976	1	1.1426861584791679	0.06474316219160353
chrisrock	238319766	0	1.008703743193844	-0.6420134803928763
christichat	732980827	0	-1.275425653872603	-1.1590643932086504
chrisvanhollen	18137749	1	0.9193166519133132	0.9381597135135249
chuckgrassley	10615232	1	0.003798981023763285	0.4304758193375032
chucknellis	315878798	0	NA	NA
chucktodd	50325797	0	0.8543315213670429	-0.2867995156647065
chuckwoolery	462104542	0	-1.270426523286213	-1.2074709369254863
citizensrock	271030180	0	1.1239957441580914	0.3706186878877813
clairecmc	16160352	1	0.9470697027935124	0.25215443685176403
clintonfdn	75069067	0	1.0608498779386848	-0.3897243736382781
clintonglobal	68999404	0	1.023011266036073	-0.314269658544767
clyburn	188019606	1	0.9208645657071384	0.7432959631480495
cnbc	20402945	0	0.544186725256171	-0.4545042060264241
