"meta_id"	"user_id"	"screen_name"	"moc_117"	"moc_116"	"pundit"	"covid_elite"	"president"	"media"	"candidate"	"governor"	"official"
"MH11722139"	"18131106"	"millermeeks"	1	0	0	0	0	0	0	0	0
"MH11722138"	"1343656635907125250"	"RepMaryMiller"	1	0	0	0	0	0	0	0	0
"MH11722137"	"1334164871420796928"	"RepMeijer"	1	0	0	0	0	0	0	0	0
"MH11722136"	"1344032292432437248"	"RepLisaMcClain"	1	0	0	0	0	0	0	0	0
"MH11722135"	"936626346553413633"	"KathyManningNC"	1	0	0	0	0	0	0	0	0
"MH11722135"	"1337115670161608712"	"RepKManning"	1	0	0	0	0	0	0	0	0
"MH11722134"	"1345825008887721986"	"RepMann"	1	0	0	0	0	0	0	0	0
"MH11722133"	"757862089"	"NMalliotakis"	1	0	0	0	0	0	0	0	0
"MH11722133"	"1344750588026900481"	"RepMalliotakis"	1	0	0	0	0	0	0	0	0
"MH11722132"	"914815520842616834"	"NancyMace"	1	0	0	0	0	0	0	0	0
"MH11722132"	"1343597700542038017"	"RepNancyMace"	1	0	0	0	0	0	0	0	0
"MH11722131"	"1345147845926670337"	"RepTeresaLF"	1	0	0	0	0	0	0	0	0
"MH11722131"	"1128147829606600706"	"TeresaForNM"	1	0	0	0	0	0	0	0	0
"MH11722130"	"1082329240681492481"	"JakeLaTurner"	1	0	0	0	0	0	0	0	0
"MH11722130"	"1345850704800468993"	"RepLaTurner"	1	0	0	0	0	0	0	0	0
"MH11722129"	"2355919591"	"YoungKimCA"	1	0	0	0	0	0	0	0	0
"MH11722129"	"1344677401465397249"	"RepYoungKim"	1	0	0	0	0	0	0	0	0
"MH11722128"	"4863545294"	"kaikahele"	1	0	0	0	0	0	0	0	0
"MH11722127"	"1345883634046279681"	"RepMondaire"	1	0	0	0	0	0	0	0	0
"MH11722127"	"872143958847045632"	"MondaireJones"	1	0	0	0	0	0	0	0	0
"MH11722126"	"1345103905869455361"	"RepSaraJacobs"	1	0	0	0	0	0	0	0	0
"MH11722126"	"1656913327"	"SaraJacobsCA"	1	0	0	0	0	0	0	0	0
"MH11722125"	"1201953403099893760"	"RonnyJacksonTX"	1	0	0	0	0	0	0	0	0
"MH11722125"	"1341903465610686464"	"RepRonnyJackson"	1	0	0	0	0	0	0	0	0
"MH11722124"	"18189966"	"hinsonashley"	1	0	0	0	0	0	0	0	0
"MH11722124"	"1340783304304410625"	"RepAshleyHinson"	1	0	0	0	0	0	0	0	0
"MH11722123"	"898787903609765890"	"Yvette4congress"	1	0	0	0	0	0	0	0	0
"MH11722123"	"1344416719260016641"	"RepHerrell"	1	0	0	0	0	0	0	0	0
"MH11722122"	"1345787285179162624"	"RepHarshbarger"	1	0	0	0	0	0	0	0	0
"MH11722122"	"1237911282440982528"	"DHarshbargerTN1"	1	0	0	0	0	0	0	0	0
"MH11722121"	"1344356576786866176"	"RepMTG"	1	0	0	0	0	0	0	0	0
"MH11722121"	"826065164504006657"	"mtgreenee"	1	0	0	0	0	0	0	0	0
"MH11722120"	"1345536897838436353"	"RepBobGood"	1	0	0	0	0	0	0	0	0
"MH11722120"	"1191470062340845568"	"GoodForCongress"	1	0	0	0	0	0	0	0	0
"MH11722119"	"1124044084669288450"	"TonyGonzales4TX"	1	0	0	0	0	0	0	0	0
"MH11722119"	"1343627416120532992"	"RepTonyGonzales"	1	0	0	0	0	0	0	0	0
"MH11722118"	"1343679195034103808"	"RepCarlos"	1	0	0	0	0	0	0	0	0
"MH11722117"	"1344349650447433729"	"RepGarbarino"	1	0	0	0	0	0	0	0	0
"MH11722116"	"1343664721384398849"	"RepFranklin"	1	0	0	0	0	0	0	0	0
"MH11722115"	"1169399788539928576"	"FitzgeraldforWI"	1	0	0	0	0	0	0	0	0
"MH11722114"	"1344375287484723205"	"RepFischbach"	1	0	0	0	0	0	0	0	0
"MH11722114"	"1159929043816460288"	"FischbachMN7"	1	0	0	0	0	0	0	0	0
"MH11722113"	"1345135363761852416"	"RepFeenstra"	1	0	0	0	0	0	0	0	0
"MH11722113"	"23764160"	"RandyFeenstra"	1	0	0	0	0	0	0	0	0
