source	meta_id	user_id	screen_name	phi	phi_2	followers	voteview_id	nominate_dim1	nominate_dim2	party_code	party	chamber
members_of_congress	MH11722130	1345850704800468993	replaturner	1.256447165226955	1.1267247627007058	45	22130	NA	NA	NA	Independent	House
members_of_congress	MH11722129	2355919591	youngkimca	1.3955465828389462	-0.22783388114251435	584	22129	NA	NA	NA	Independent	House
members_of_congress	MH11722129	1344677401465397249	repyoungkim	1.3955465828389462	-0.22783388114251435	584	22129	NA	NA	NA	Independent	House
members_of_congress	MH11722128	4863545294	kaikahele	-0.906676645993779	0.33477943716003683	2884	22128	NA	NA	NA	Independent	House
members_of_congress	MH11722127	1345883634046279681	repmondaire	-0.9204848745026314	-0.0337186961189886	2027	22127	NA	NA	NA	Independent	House
members_of_congress	MH11722127	872143958847045632	mondairejones	-0.9204848745026314	-0.0337186961189886	2027	22127	NA	NA	NA	Independent	House
members_of_congress	MH11722126	1345103905869455361	repsarajacobs	-0.756919544325435	0.6720196694626555	330	22126	NA	NA	NA	Independent	House
members_of_congress	MH11722126	1656913327	sarajacobsca	-0.756919544325435	0.6720196694626555	330	22126	NA	NA	NA	Independent	House
members_of_congress	MH11722125	1201953403099893760	ronnyjacksontx	2.117832890085494	-1.3011299742156384	1666	22125	NA	NA	NA	Independent	House
members_of_congress	MH11722125	1341903465610686464	repronnyjackson	2.117832890085494	-1.3011299742156384	1666	22125	NA	NA	NA	Independent	House
members_of_congress	MH11722124	18189966	hinsonashley	1.150859383619294	-0.3566283475508421	409	22124	NA	NA	NA	Independent	House
members_of_congress	MH11722124	1340783304304410625	repashleyhinson	1.150859383619294	-0.3566283475508421	409	22124	NA	NA	NA	Independent	House
members_of_congress	MH11722123	898787903609765890	yvette4congress	1.5876937442693428	0.04306643510641718	128	22123	NA	NA	NA	Independent	House
members_of_congress	MH11722123	1344416719260016641	repherrell	1.5876937442693428	0.04306643510641718	128	22123	NA	NA	NA	Independent	House
members_of_congress	MH11722122	1345787285179162624	repharshbarger	1.6508747534317512	0.46093634079398854	44	22122	NA	NA	NA	Independent	House
members_of_congress	MH11722122	1237911282440982528	dharshbargertn1	1.6508747534317512	0.46093634079398854	44	22122	NA	NA	NA	Independent	House
members_of_congress	MH11722121	1344356576786866176	repmtg	NA	NA	0	22121	NA	NA	NA	Independent	House
members_of_congress	MH11722120	1345536897838436353	repbobgood	0.922264680952262	0.3270687879998209	22	22120	NA	NA	NA	Independent	House
members_of_congress	MH11722120	1191470062340845568	goodforcongress	0.922264680952262	0.3270687879998209	22	22120	NA	NA	NA	Independent	House
members_of_congress	MH11722119	1124044084669288450	tonygonzales4tx	1.68493920250095	0.260704784616676	130	22119	NA	NA	NA	Independent	House
members_of_congress	MH11722119	1343627416120532992	reptonygonzales	1.68493920250095	0.260704784616676	130	22119	NA	NA	NA	Independent	House
members_of_congress	MH11722118	1343679195034103808	repcarlos	NA	NA	0	22118	NA	NA	NA	Independent	House
members_of_congress	MH11722117	1344349650447433729	repgarbarino	NA	NA	0	22117	NA	NA	NA	Independent	House
members_of_congress	MH11722116	1343664721384398849	repfranklin	NA	NA	0	22116	NA	NA	NA	Independent	House
members_of_congress	MH11722115	1169399788539928576	fitzgeraldforwi	1.1970893024906217	0.22624894100485043	81	22115	NA	NA	NA	Independent	House
members_of_congress	MH11722114	1344375287484723205	repfischbach	1.6244620323777061	-0.22425097067567523	183	22114	NA	NA	NA	Independent	House
members_of_congress	MH11722114	1159929043816460288	fischbachmn7	1.6244620323777061	-0.22425097067567523	183	22114	NA	NA	NA	Independent	House
members_of_congress	MH11722113	1345135363761852416	repfeenstra	1.1530019559118565	0.13517763550381834	270	22113	NA	NA	NA	Independent	House
members_of_congress	MH11722113	23764160	randyfeenstra	1.1530019559118565	0.13517763550381834	270	22113	NA	NA	NA	Independent	House
members_of_congress	MH11722112	1343258042704527362	reppatfallon	1.220387812810885	0.6263243734573092	198	22112	NA	NA	NA	Independent	House
members_of_congress	MH11722112	256157258	fallonfortexas	1.220387812810885	0.6263243734573092	198	22112	NA	NA	NA	Independent	House
