"","user_id","handle","voteview_id","type","icpsr","bioname","party_code","cqlabel","state_abbrev","chamber","seo_name","district_code","nominate.dim1"
"67",23976316,"repkenmarchant","MH11620532","congress",20532,"MARCHANT, Kenny",200,"(TX-24)","TX","House","kenny-marchant",24,0.601
"68",24195214,"janschakowsky","MH11629911","congress",29911,"SCHAKOWSKY, Janice D.",100,"(IL-09)","IL","House","janice-d-schakowsky",9,-0.607
"69",24745957,"rephankjohnson","MH11620712","congress",20712,"JOHNSON, Hank",100,"(GA-04)","GA","House","hank-johnson",4,-0.467
"70",24768753,"sherrodbrown","MS11629389","congress",29389,"BROWN, Sherrod",100,"(OH)","OH","Senate","sherrod-brown",0,-0.43
"71",24913074,"repspeier","MH11620762","congress",20762,"SPEIER, Karen Lorraine Jacqueline (Jackie)",100,"(CA-14)","CA","House","karen-lorraine-jacqueline-jackie-speier",14,-0.381
"72",25086658,"congbillposey","MH11620909","congress",20909,"POSEY, Bill",200,"(FL-08)","FL","House","bill-posey",8,0.517
"73",26051676,"repgusbilirakis","MH11620758","congress",20758,"BILIRAKIS, Gus",200,"(FL-12)","FL","House","gus-bilirakis",12,0.404
"74",26424123,"repmccaul","MH11620530","congress",20530,"McCAUL, Michael T.",200,"(TX-10)","TX","House","michael-t-mccaul",10,0.437
"75",26637348,"tulsigabbard","MH11621324","congress",21324,"GABBARD, Tulsi",100,"(HI-02)","HI","House","tulsi-gabbard",2,-0.279
"76",26653478,"jasonsmithmo","MH11621373","congress",21373,"SMITH, Jason",200,"(MO-08)","MO","House","jason-smith",8,0.597
"77",26778110,"repwalterjones","MH11629546","congress",29546,"JONES, Walter Beaman, Jr.",200,"(NC-03)","NC","House","walter-beaman-jones-jr",3,0.244
"78",27044466,"jameslankford","MS11621166","congress",21166,"LANKFORD, James",200,"(OK)","OK","Senate","james-lankford",0,0.587
"79",27676828,"patrickmchenry","MH11620522","congress",20522,"McHENRY, Patrick T.",200,"(NC-10)","NC","House","patrick-t-mchenry",10,0.552
"80",28267055,"kevincramer","MS11621350","congress",21350,"CRAMER, Kevin",200,"(ND)","ND","Senate","kevin-cramer",0,0.389
"81",28599820,"repdianadegette","MH11629710","congress",29710,"DeGETTE, Diana",100,"(CO-01)","CO","House","diana-degette",1,-0.432
"82",28602948,"repraulgrijalva","MH11620305","congress",20305,"GRIJALVA, Ra̼l M.",100,"(AZ-03)","AZ","House","raul-m-grijalva",3,-0.599
"83",29201047,"senjeffmerkley","MS11640908","congress",40908,"MERKLEY, Jeff",100,"(OR)","OR","Senate","jeff-merkley",0,-0.443
"84",29442313,"sensanders","MS11629147","congress",29147,"SANDERS, Bernard",328,"(VT)","VT","Senate","bernard-sanders",0,-0.527
"85",29450962,"repjohnlewis","MH11615431","congress",15431,"LEWIS, John R.",100,"(GA-05)","GA","House","john-r-lewis",5,-0.589
"86",29495695,"kloeffler","MS11641904","congress",41904,"LOEFFLER, Kelly",200,"(GA)","GA","Senate","kelly-loeffler",0,0.547
"87",29501253,"repadamschiff","MH11620104","congress",20104,"SCHIFF, Adam",100,"(CA-28)","CA","House","adam-schiff",28,-0.349
"88",29766367,"repsamgraves","MH11620124","congress",20124,"GRAVES, Samuel",200,"(MO-06)","MO","House","samuel-graves",6,0.442
"89",30216513,"bradsherman","MH11629707","congress",29707,"SHERMAN, Brad",100,"(CA-30)","CA","House","brad-sherman",30,-0.342
"90",30354991,"kamalaharris","MS11641701","congress",41701,"HARRIS, Kamala Devi",100,"(CA)","CA","Senate","kamala-devi-harris",0,-0.709
"91",31013444,"ayannapressley","MH11621955","congress",21955,"PRESSLEY, Ayanna",100,"(MA-07)","MA","House","ayanna-pressley",7,-0.286
"92",31611298,"jahimes","MH11620907","congress",20907,"HIMES, James A.",100,"(CT-04)","CT","House","james-a-himes",4,-0.242
"93",31801993,"frankpallone","MH11615454","congress",15454,"PALLONE, Frank, Jr.",100,"(NJ-06)","NJ","House","frank-pallone-jr",6,-0.404
"94",32010840,"repgregwalden","MH11629932","congress",29932,"WALDEN, Greg",200,"(OR-02)","OR","House","greg-walden",2,0.334
"95",33537967,"amyklobuchar","MS11640700","congress",40700,"KLOBUCHAR, Amy",100,"(MN)","MN","Senate","amy-klobuchar",0,-0.276
"96",33563161,"repjoseserrano","MH11629134","congress",29134,"SERRANO, Jos̩ E.",100,"(NY-15)","NY","House","jose-e-serrano",15,-0.491
"97",33576489,"repbrianhiggins","MH11620519","congress",20519,"HIGGINS, Brian",100,"(NY-26)","NY","House","brian-higgins",26,-0.346
"98",33977070,"repmikerogersal","MH11620301","congress",20301,"ROGERS, Mike Dennis",200,"(AL-03)","AL","House","mike-dennis-rogers",3,0.353
"99",34715823,"debbielesko","MH11621757","congress",21757,"LESKO, Debbie",200,"(AZ-08)","AZ","House","debbie-lesko",8,0.608
"100",36686040,"repmaxinewaters","MH11629106","congress",29106,"WATERS, Maxine",100,"(CA-43)","CA","House","maxine-waters",43,-0.653
"101",37007274,"repdonyoung","MH11614066","congress",14066,"YOUNG, Donald Edwin",200,"(AK-01)","AK","House","donald-edwin-young",1,0.284
"102",37094727,"mariodb","MH11620316","congress",20316,"DIAZ-BALART, Mario",200,"(FL-25)","FL","House","mario-diaz-balart",25,0.279
"103",38254095,"dorismatsui","MH11620538","congress",20538,"MATSUI, Doris",100,"(CA-06)","CA","House","doris-matsui",6,-0.434
"104",38285038,"robinlynnekelly","MH11621371","congress",21371,"KELLY, Robin L.",100,"(IL-02)","IL","House","robin-l-kelly",2,-0.46
"105",38960144,"vgescobar","MH11621917","congress",21917,"ESCOBAR, Veronica",100,"(TX-16)","TX","House","veronica-escobar",16,-0.477
"106",39249305,"usrepmikedoyle","MH11629561","congress",29561,"DOYLE, Michael F.",100,"(PA-18)","PA","House","michael-f-doyle",18,-0.33
"107",40302336,"repjerrynadler","MH11629377","congress",29377,"NADLER, Jerrold Lewis",100,"(NY-10)","NY","House","jerrold-lewis-nadler",10,-0.508
"108",41417564,"repsmucker","MH11621745","congress",21745,"SMUCKER, Lloyd K.",200,"(PA-11)","PA","House","lloyd-k-smucker",11,0.42
"109",41533245,"aguilarpete","MH11621506","congress",21506,"AGUILAR, Peter Rey",100,"(CA-31)","CA","House","peter-rey-aguilar",31,-0.291
"110",42481696,"bradleybyrne","MH11621376","congress",21376,"BYRNE, Bradley",200,"(AL-01)","AL","House","bradley-byrne",1,0.611
"111",43910797,"sensherrodbrown","MS11629389","congress",29389,"BROWN, Sherrod",100,"(OH)","OH","Senate","sherrod-brown",0,-0.43
"112",45645232,"michaelbennet","MS11640910","congress",40910,"BENNET, Michael F.",100,"(CO)","CO","Senate","michael-f-bennet",0,-0.22
"113",47724293,"tinasmithmn","MS11641706","congress",41706,"SMITH, Tina",100,"(MN)","MN","Senate","tina-smith",0,-0.393
"114",47747074,"brianschatz","MS11641112","congress",41112,"SCHATZ, Brian Emanuel",100,"(HI)","HI","Senate","brian-emanuel-schatz",0,-0.444
"115",48117116,"stevekingia","MH11620325","congress",20325,"KING, Steve",200,"(IA-04)","IA","House","steve-king",4,0.611
"116",49217025,"rubengallego","MH11621502","congress",21502,"GALLEGO, Ruben",100,"(AZ-07)","AZ","House","ruben-gallego",7,-0.451
