screen_name	user_id	politician
mattbatzel	52944689	0
mattyglesias	15446531	0
mattyiceaz	221969181	0
maxinewaters	36686040	1
maziehirono	92186819	1
mccaskilloffice	57065141	1
mcconnellpress	339822881	1
mch7576	754135908	0
megynkelly	110445334	0
melindagates	161801527	0
melissatweets	14728168	0
mercuryoneoc	343772856	0
mericanrefugee	947843994	0
messina2012	356885109	0
mharrisperry	18587457	0
mhpshow	475286355	0
miablove	343171266	1
miafarrow	33235771	0
michaelcburgess	15751083	1
michaeledyson	55334133	0
michaelemlong	17527466	0
michelebachmann	18217624	1
michellemalkin	15976697	0
michelleobama	409486555	0
middleamericams	55370049	0
mikandynothem	492833134	0
mike_beacham	829735580	0
mike_johanns	2982221968	0
mikebloomberg	16581604	0
mikecrapo	600463589	1
miller51550	66951419	0
mindykaling	23544596	0
mitchellreports	89820928	0
mittromney	50055701	0
mkhammer	4923811	0
mmfa	13493302	0
mmflint	20479813	0
mmmoonie	196871565	0
momsdemand	1017637447	0
monicacrowley	166990746	0
moonbattery1	254732884	0
morningmika	18227519	0
motherjones	18510860	0
moveon	26657119	0
mrclean2012	17714851	0
msnbc	2836421	0
mtaibbi	38271276	0
mthorntoncpa	573972193	0
mundyspeaks	110918004	0
nahbabynah	792660210	0
nancypelosi	15764644	1
nansen	14389132	0
nasa	11348282	0
natesilver538	16017475	0
natgeo	17471979	0
natshupe	158060289	0
naughtybeyotch	475811383	0
nbcnews	14173315	0
neiltyson	19725644	0
netanyahu	17061263	0
newsbusters	45190383	0
newshour	14437914	0
newsweek	2884771	0
newtgingrich	20713061	0
newyorker	14677919	0
nf3l	417388541	0
nicholsuprising	466519303	0
nickegoroff	19515059	0
nickkristof	17004618	0
nikiinthehouse	242892689	0
nikkihaley	37666984	0
ninaturner	188793260	0
nitalowey	221792092	0
noh8campaign	32774989	0
noltenc	16163639	0
norahodonnell	21111896	0
norsu2	149315713	0
nowwithalex	409456907	0
npr	5392522	0
nprnews	3386439610	0
nprpolitics	5741722	0
nra	21829541	0
nro	19417492	0
nrocorner	46002396	0
nydiavelazquez	164369297	1
nytimes	807095	0
nytimeskrugman	17006157	0
obama_clock	316126656	0
obama_czar	79258361	0
obama_games	59461030	0
occupycorruptdc	417451460	0
occupywallst	335369838	0
occupywallstnyc	335972576	0
ofa	15667802	0
ofatruthteam	340333435	0
officialadele	184910040	0
opengov	24752484	0
oprah	19397785	0
oreillyfactor	23970102	0
p0tus	23255247	1
pac43	89496720	0
palmaceiahome1	295171830	0
pamelageller	15669672	0
pari_passu	53019309	0
patdollard	15300388	0
patrickmchenry	27676828	0
patriot_zero	1370016014	0
patriotic_me	35216399	0
patriotlemonade	294145954	0
pattonoswalt	139162440	0
pattymurray	293131808	1
patvpeters	33611715	0
paulbegala	352548417	0
pbs	12133382	0
peddoc63	1379288282	0
peteolson	12726012	0
peterroskam	20015903	1
petesessions	24735461	0
petesouza	18215973	0
peytonjames	42126668	0
phxken	561654065	0
piersmorgan	216299334	0
pjmedia_com	7597712	0
pjstrikeforce	121656624	0
pmgeezer	39755667	0
pointlesspol	805669518	0
pol0tix	15406238	0
politicailine	3210853588	0
politicallaughs	374138602	0
