"","source","meta_id","user_id","screen_name"
"250","members_of_congress","MH11721971","1083125649609506816","repgregsteube"
"251","members_of_congress","MH11721970","1075205691621720064","repbryansteil"
"252","members_of_congress","MH11721969","1075830599007510535","reppetestauber"
"253","members_of_congress","MH11721968","1080885078425784320","repgregstanton"
"254","members_of_congress","MH11721966","1078771401497161728","repspanberger"
"255","members_of_congress","MH11721966","882958562296819714","spanbergerva07"
"256","members_of_congress","MH11721965","1078401427347857408","repslotkin"
"257","members_of_congress","MH11721964","1080569698536878081","repsherrill"
"258","members_of_congress","MH11721962","1080462532815532032","repkimschrier"
"259","members_of_congress","MH11721961","1082790600292925440","repchiproy"
"260","members_of_congress","MH11721961","1257667158","chiproytx"
"261","members_of_congress","MH11721959","1081312310059253763","repjohnrose"
"262","members_of_congress","MH11721956","4205133682","greschenthaler"
"263","members_of_congress","MH11721955","1080584229510172678","reppressley"
"264","members_of_congress","MH11721955","31013444","ayannapressley"
"265","members_of_congress","MH11721954","1081222837459996672","repkatieporter"
"266","members_of_congress","MH11721954","617266600","katieporteroc"
"267","members_of_congress","MH11721953","1061310112013434882","repdeanphillips"
"268","members_of_congress","MH11721952","1082369392229400576","repgregpence"
"269","members_of_congress","MH11721951","1067748650485497862","repchrispappas"
"270","members_of_congress","MH11721951","574799823","chrispappasnh"
"271","members_of_congress","MH11721950","1082334352711790593","ilhan"
"272","members_of_congress","MH11721950","783792992","ilhanmn"
"273","members_of_congress","MH11721949","1079104563280527364","repaoc"
"274","members_of_congress","MH11721949","138203134","aoc"
"275","members_of_congress","MH11721948","1078749802765139968","repjoeneguse"
"276","members_of_congress","MH11721948","1542372750","joeneguse"
"277","members_of_congress","MH11721946","1081318716573470720","repcarolmiller"
"278","members_of_congress","MH11721945","1080574793630527505","repmeuser"
"279","members_of_congress","MH11721944","1082380458976051202","replucymcbath"
"280","members_of_congress","MH11721942","1080898026418384897","repmalinowski"
"281","members_of_congress","MH11721942","811239440916054016","malinowski"
"282","members_of_congress","MH11721941","1080292515939565568","repelaineluria"
"283","members_of_congress","MH11721940","1080277407867772930","repandylevin"
"284","members_of_congress","MH11721939","1072134139560620033","repmikelevin"
"285","members_of_congress","MH11721939","14573926","mikelevin"
"286","members_of_congress","MH11721938","1079061579973439488","repsusielee"
"287","members_of_congress","MH11721937","1078771848882593793","repandykimnj"
"288","members_of_congress","MH11721936","1082311988926124036","repjohnjoyce"
"289","members_of_congress","MH11721935","1074782372594413569","repdustyjohnson"
"290","members_of_congress","MH11721934","1052896620797460481","rephoulahan"
"291","members_of_congress","MH11721931","1082086081238102018","repjahanahayes"
"292","members_of_congress","MH11721930","1080851152151953410","repjoshharder"
"293","members_of_congress","MH11721929","1083474782602125318","rephagedorn"
"294","members_of_congress","MH11721928","286476728","debhaalandnm"
"295","members_of_congress","MH11721928","1080695666760929280","repdebhaaland"
"296","members_of_congress","MH11721927","1081243468327018496","repmichaelguest"
"297","members_of_congress","MH11721926","1080477288955826176","repmarkgreen"
"298","members_of_congress","MH11721925","1029094268542099457","lancegooden"
"299","members_of_congress","MH11721924","1054381765224210432","repagonzalez"
"300","members_of_congress","MH11721923","1080891667308298240","repgolden"
"301","members_of_congress","MH11721922","1080587263132733442","repsylviagarcia"
"302","members_of_congress","MH11721921","1082427779583541248","repchuygarcia"
"303","members_of_congress","MH11721920","1078741899572240384","reprussfulcher"
"304","members_of_congress","MH11721919","1075904377221722113","repfletcher"
"305","members_of_congress","MH11721917","1075517806551154689","repescobar"
"306","members_of_congress","MH11721917","38960144","vgescobar"
"307","members_of_congress","MH11721916","1080485692298444800","repdelgado"
"308","members_of_congress","MH11721916","829061809135030272","delgadoforny19"
"309","members_of_congress","MH11721915","567508925","repdean"
"310","members_of_congress","MH11721914","1080516116395499522","repdavids"
"311","members_of_congress","MH11721912","1080191866509901826","repjasoncrow"
"312","members_of_congress","MH11721911","1080894931311431682","repdancrenshaw"
"313","members_of_congress","MH11721911","930552552302792705","dancrenshawtx"
"314","members_of_congress","MH11721910","1080222360643485698","repangiecraig"
"315","members_of_congress","MH11721908","1072158357237174272","repbencline"
"316","members_of_congress","MH11721906","1083472286089396224","repcasten"
"317","members_of_congress","MH11721906","66804351","seancasten"
"318","members_of_congress","MH11721905","1028854804087492613","reptimburchett"
"319","members_of_congress","MH11721905","353890966","timburchett"
"320","members_of_congress","MH11721903","1086316494450032640","repjimbaird"
"321","members_of_congress","MH11721902","1080865917377097728","repcindyaxne"
"322","members_of_congress","MH11721901","1080515866255593472","reparmstrongnd"
"323","members_of_congress","MH11721900","1078355119920562176","repcolinallred"
"324","members_of_congress","MH11721763","1069636653353000962","repsusanwild"
"325","members_of_congress","MH11721762","1067541214671577093","repmgs"
"326","members_of_congress","MH11721762","961312723035394048","marygayscanlon"
"327","members_of_congress","MH11721761","1064595993222615040","repjoemorelle"
"328","members_of_congress","MH11721760","1067818539179024386","repkevinhern"
"329","members_of_congress","MH11721759","1037341536592310272","repbalderson"
"330","members_of_congress","MH11721758","1039879658400112640","repcloudtx"
"331","members_of_congress","MH11721757","996094929733652481","repdlesko"
