screen_name	user_id
davidmuir	56223278
davidmwessel	36047098
davidnakamura	23621827
davidweidner	15020108
davisusan	151444950
dbfarber	1899161
dcallaway	14052016
dealbook	16955517
deborahamos	93293716
deborahgage	13986572
delwilber	20114089
demetria_g	23840585
derekwillis	14517538
devindwyer	18993104
dgbxny	104352678
dhpierson	66259130
dianabhenriques	242763001
dionnissenbaum	100860790
ditzkoff	81482674
djmatthewdalton	335207117
dkberman	111441302
dmacsai	20854875
domeniconbc	20474813
donal888	8885922
dongonyea	61285110
donnaleinwand	17027394
dotearth	14603515
doylemcmanus	70442821
drewvigal	626103
drrichardbesser	100601004
drudge_report	14669951
drudgereport	5942922
duenes	23994034
dvergano	58489734
dvnjr	19113374
dwightgarner	19714682
dwotapka	16714359
dylandreyernbc	28097850
edatpost	16930125
edbaig	6141132
edhenrytv	16157855
eholmeswsj	18641695
eilperin	118747545
elanazak	15865896
elisewho	16001350
emilyabc	21234528
emilyglazerwsj	16831353
emilyrauhala	45511355
emilyweinstein	14401912
emmersbrown	26159450
ericasimov	27716402
erick_smith	29490537
ericprisbell	626732049
ericwilsonnyt	186454150
erikpiepenburg	138144571
eugene_robinson	59031230
evelynrusli	15469101
ezraklein	18622869
fernandanyt	85850590
fieldproducer	23055689
fionaspruill	18171927
fivethirtyeight	16017475
fixsean	169586280
fncjrreporters	763876920
fnthefive	334053327
foxnewslatino	161319475
foxnewslive	191613738
foxnewspolitics	16032925
foxnewsradio	11611052
frankbruni	37291805
frugaltraveler	14237001
fstonenyt	247033019
geoffreyfowler	23145378
georgeschroeder	20714206
geraldfseib	18915795
ghoshworld	244957467
gksteinhauser	250038860
globespotters	16956330
goldmanrussell	20156726
gordondeal	21212299
graham_bowley	137414410
grahaphics	33318712
greenhousenyt	268476335
gregorykorte	13804112
gstephanopoulos	17074440
gtoppo	16028750
habibkhant	89669859
hamman	14206869
hannityshow	18770485
hardball	205864193
harrisfaulkner	18313747
harrisj	681473
harrymccracken	817268
hbryant42	72966192
hernandezjavier	23836537
herszenhorn	61879600
heymarshall	23372997
hilella	89293119
hillhulse	138479037
hodakotb	25321854
houstonfowler	5976482
howardbecknyt	17494046
howardfineman	14962779
hugolindgren	10922752
ianshapira	17734537
iansherr	726393
inajaffenpr	56847039
itsdgc	8564982
jacksondiehl	15432218
jacksonjk	15724082
jacqui	355203
jadmouawad	32433821
jamesestrin	16295907
jamesrhagerty	75097340
jamesrosenfnc	48029066
jamestaranto	53606937
jameswagnerwp	16832435
jamiegangel	21894812
jancbs	102238997
janicenlloyd	50460882
jarrettbell	59673614
jasonwsj	86158118
jasonzweigwsj	89043072
jaymart	14887953
jayneodonnell	14681955
jdavidgoodman	16395525
jdemling	7872032
jdickerson	4119741
jeanchatzky	18452614
jeffersongraham	8616252
jeffglor	41662642
jeffisraely	88244742
jeffrossen	93736499
jeffsommer	17525611
jeffzeleny	85131054
jeffzillgitt	26555366
jennabushhager	305141546
jennawolfe	79827261
jenniferbrook	8884482
jennydeluxe	10454572
jenvalentino	35757252
jessbravin	80928773
jessemckinley	16046443
jesserodriguez	18028893
jessicagelt	23530077
jessicalessin	8962882
jessicataylor	93876666
jestei	16441088
jfkucinich	15159913
jguynn	14097951
jillabramson	309937733
jimschachter	14476328
jimtankersley	133947893
jnsmall	14049145
joannastern	7745472
jodikantor	15891430
joe_palazzolo	18883224
joedrape	23196748
johndonvan	20067354
johnkelly	14216054
johnqabc	22535018
johnrobertsfox	20975060
johnschriffen	237493841
johnwaggoner	29300726
jolshan	22029004
jonathanalter	21844854
jonathanlandman	15174477
jonathanrockoff	18021517
jonathanserrie	14883401
jonnelle	17816699
jonnysaraceno	158155062
jonostrower	14892330
jonpareles	80764810
joshuabrustein	108721917
jpdabrams	32140588
jpnewport	16043436
jsvine	261025036
jswartz	16018805
judybattista	71619021
jujuchangabc	18950931
juliaangwin	17029640
julianbarnes	50406326
julietmacur	18554022
jwpetersnyt	163598915
kabster728	16444606
karentravers	48038024
kasie	12354832
kathielgifford	80676273
katie_martin_fx	57268394
katie_thomas	18318642
katierosman	18083797
katzm	27717493
kaylawebley	16566825
keachhagey	18080708
keirsimmons	23189508
kelligrant	17136568
kellycrowwsj	18024880
kellyo	224320485
kellyskennedy	118730543
kellywhiteside	58639365
ken_rosenthal	90959399
kenrudin	16249259
kerrynbc	209640562
kevin_spain	52392640
kevinq	19671465
kimseverson	16588095
kiritradia_abc	62849256
krissah30	32698959
kristina_wong	18482836
kschulten	14624523
ktumulty	14270650
kwelkernbc	297532865
kystokes	19983731
labnol	724473
lajourno	16933383
lamahasan	21396309
lamthuyvo	42209362
lanow	17036898
lara	21481343
lasharah	14443406
latimes	16664681
latimesbiz	10221272
latimesbooks	17918704
latimesdixon	22462270
latimesevents	107504277
latimesfarmer	21921231
latimesfood	17796018
latimeshealth	17918663
latimesmoneyco	18058118
latimesmuskal	21146211
latimesopinion	17825891
latimesrainey	14478046
latimestravel	9676212
latpoliticsca	106516018
latseema	106291885
latstevelopez	19942100
laurably	17883075
laurameckler	21797658
lauramholson	181272163
laurapetrecca	21927944
leehawkins	16101479
leilafadel	80077721
lesliekwoh	312923625
lesterholtnbc	25300308
leverus	30980778
lexinyt	89593573
lheron	9692022
limlouisa	47936893
lisaabend	21012872
lisafleisher	15119529
lisamyers	370789794
lisastark	22982676
lisatozzi	22260999
liz_a_harris	59599859
liz_llorente	227418209
lizflock	97705675
lizszabo	48110818
lmartinezabc	20267484
loftus	15563814
lorettachao	12784712
louisestory	32628749
lpolgreen	17152685
lukerussert	21220931
lulutv	21785699
m_delamerced	9089942
madhulikasikka	108088376
maevereston	16555985
magsabc	23352757
majorcbs	46176168
malexjohnson	20922754
maracamp	27965296
margbrennan	50011708
margheritamvs	47793869
margotadler	16981910
marisol_bello	16191760
markdubya	8452442
markhalperin	184136149
markknoller	31127446
markleibovich	147649517
markoff	1536811
markzbarabak	294270520
marquardta	27938809
marthamaccallum	46681100
martinbeck	16440354
maryvale	8695052
mateagold	14677751
matinastevis	97268285
mattbai	16340501
mattgutmanabc	64744352
matthew_orr	24387882
mattkrantz	33980532
mattlynley	13146722
mattmcbradley	95048311
max_fisher	17060020
mbmarklein	124540289
mcurtisnc3	16172818
megynkelly	110445334
mekadomurphy	101247760
melanieeversley	26663400
melindadc	21443773
mericson	4071761
michaelluo	19086456
michaelpaulson	22320759
michaelpfalcone	15399512
michaelroston	16194566
michaelscherer	17910554
michele_norris	171171584
michelledbeadle	52529345
michellehiggins	21145241
miguelmarquez	21854543
mikedebonis	16753660
mikeemanuelfox	129879105
mikegarafolo	12513132
mikerosenwald	42716477
mikesielskiwsj	187665071
mikesnider	6206612
mikiebarb	282545479
mitchellreports	89820928
mjgerson	21394764
mjmishak	105281551
mkosinskinbc	303898942
mmajunkiedann	36768493
mmajunkiejohn	36962276
mmajunkiematt	9338192
mmajunkiesteven	46437179
mmurraypolitics	92079350
monicadrake	18057243
morningedition	20150502
mrafferty1	21435168
mrdanzak	66267332
msn_entertain	23228670
msn_money	40533912
msnhealth	16890971
msnrealestate	35872799
msnweather	82960432
nadineatabc	21881296
nancihellmich	54282237
nancyshute	14343392
nancytrejos	28645961
nansanfran	6022072
nateryan	18029746
nationnow	10221252
nbcnewsus	8036392
nbcnightlynews	8839632
nbctracie	30295180
ndiblasio	133081159
nealcarruth	22376014
nealkarlinsky	20283059
neediestcases	86372715
newmediajim	10419
newsweek_japan	44628277
newsweek	2884771
newsweekespanol	91430932
newsweekpak	102296197
niawapo	20259954
nick_underhill	22101927
nickconfessore	258885469
nickkristof	17004618
nickmiroff	115554440
nickschifrin	58708507
nicktimiraos	59603406
nicoleauerbach	22375230
ninatotenberg	76715323
nkingofdc	135515077
nmoralesnbc	277165873
norahodonnell	21111896
npr	14062180
npratc	21918310
nprbooks	13784642
nprbusiness	13784492
nprdebelliott	47658459
nprfreshair	13783772
nprhealth	13787352
nprinskeep	115710058
nprjobs	282717986
nprliane	20245891
nprmonkeysee	15638615
nprmusic	13784592
nprnedwharton	21748329
nprnews	5392522
nprnicole	25465628
nprpolitics	5741722
nprrussell	266917386
nprscottsimon	20245775
nprsonari	26326911
nwkworld	237851661
nyt_jenpreston	851372762
nytbishop	40088633
nytcivilwar	285186224
nytdavidbrooks	633980404
nytdining	1775731
nytfashion	16929349
nytgraphics	86640232
nytimesarts	1440641
nytimesatwar	16954241
nytimesbits	14434070
nytimesbooks	1434251
nytimesbusiness	1754641
nytimescollins	17004139
nytimescomm	15829144
nytimesdowd	59145948
nytimesglobal	27916985
nytimesgoal	16956234
nytimeshealth	1769551
nytimeshome	16929396
nytimeskrugman	17006157
nytimesmusic	16929559
nytimesphoto	22411875
nytimesrecruit	16439603
nytimesscience	1435461
nytimestech	19661363
nytimestheater	16929282
nytimestravel	1774391
nytimesvows	17023277
nytimeswell	17002395
nytimeswheels	17003056
nytimesworld	1877831
nytjamescobb	82969145
nytkeller	37917164
nytlabs	673953
nytmag	16929600
nytmetro	15222806
nytmotherlode	17026041
nytmovies	815994
nytnational	1767741
nytopinion	16686144
nytopinionator	25878195
nytprescription	70736745
nytsmallbiz	56810507
nytsports	1766701
nytstraightsets	69306507
nytstyles	1879831
oconnellpostbiz	68456106
olsentropy	19593954
omarwaraich	20771519
omtimes	61376130
onfaith	14698733
onthemedia	16469809
oreillyfactor	23970102
originalspin	14278608
owlese	8041772
palafo	2020351
palewire	14559196
pamelafalk	174145542
pamelapaulnyt	294258287
parmfarm	104256885
partytimemag	134971351
patt_morrison	26090882
paulsonne	66492948
paulwsj	33992890
peggynoonannyc	35474809
perfiguy	246474942
pescami	12382582
pete_wells	18228075
peterlattman	15803250
petermaercbs	122396513
pgcat	14364705
philmoeller	204577525
pierretabc	223870860
pilhofer	15180852
pogue	9534522
politicsnation	364423298
poniewozik	23480093
popcandy	4077891
postbaron	232235048
postlive	14345113
postpolitics	14345062
powellnyt	301012485
preetatweets	21907474
producerguy1	19572264
rachelaxon	623453038
racheldodes	25684077
rachelensignwsj	334079148
rajunarisetti	224180296
ray_krueger	39434755
rayalexsmith	22930185
rcarchiboldnyt	14849284
realadrianc	21688902
rebeccaheslin	15289218
rebeccajarvis	152341106
reddy	21312469
reedalbergotti	16912204
reem_abdellatif	94989844
reidcherner	19397946
rekhashetty	21023688
revkin	11178672
rhondaabrams	22655150
rich_campbell	18906156
richardengel	47438401
richardlui	11762572
richardwolffedc	56700964
rickfolbaum	35566561
rickjnewman	15896829
rickklein	18172905
rickleventhal	16364399
rimakader	16795445
ritarubin	17448943
rjpiii	18686330
rkrulwich	109298652
robertfaturechi	51916936
robertklemko	218129328
robinabcarian	19085493
robpegoraro	7301572
robsteinnews	151205768
rohitkachrooitv	19863176
rolfewinkler	19219421
ronallennbc	111060879
ronlieber	37718165
ronmott	271476647
roomfordebate	19731643
rosa	35646585
rozzy	5507902
rubinafillion	23365014
rudoren	23946892
rueby	21416856
runewsweek	92388422
russwkyc	22149280
rwhelanwsj	138831249
sallykohn	18978610
sam_amick	19017659
samchampion	21232507
samgustin	11852522
samschech	14412988
samsifton	27696993
sanchanta	26512821
sandycannold	100351634
sarahaines	15383116
sarahlyall	40200549
sarahmaslinnir	24134103
sarahneedleman	63141999
saramurray	18637396
sarbetter	105677153
sashak	2115091
savannahguthrie	52070270
sbanchero	16679681
sbanjo	9505502
schrotenboer	21359564
scotthensley	18208763
scottmaustin	110755266
seanhannity	41634520
sewellchan	1198481
sfwriter	12337072
shamblanderson	107857325
shancarter	14875983
shannonbream	18983793
shannonbrownlee	96366316
shayndi	151191872
shearm	14552725
sheeraf	20052487
shefalianand	70044497
shelbygrad	14827461
sherylstolberg	95270375
simon_nixon	187965811
simondenyer	39778096
simonesoliver	101105818
simonowens	16248619
singernews	242418441
sisario	14179132
sleasca	238843647
spencerante	14857438
spokesnyt	43668571
srubenfeld	9376172
ssstrom	21415998
stateofnova	38527998
stephcliff	21245863
stephgosk	21225519
stephlauren	17355423
stephronyt	14518765
steve_dimeglio	24905297
steveagardner	27449758
stevechaggaris	14477880
stevennelson10	47893782
stevenportnoy	24703826
stevestrauss	16076796
stiles	14790314
stuartenyt	107234633
suellentrop	26538676
sullivanradio	19208825
sunlenmiller	57768217
susancrabtree	21333396
susanpage	21307076
swheaton	3648061
swhyno	30781324
szirinsky	21774546
tamarakeithnpr	15483390
tamerelg	125400908
tamronhall	21228708
tanzinavega	154145174
tarangonyt	117460060
taraparkerpope	26929440
tdoubleb	15358452
tellmemorenpr	22685638
terrymoran	15234546
terryteachout	19184998
thecarpetbagger	16955436
thecaucus	14434063
thedailybeast	16012783
thelastword	182503471
thelede	14434011
thenewoldage	17000625
thepubliceditor	17025323
thereval	42389136
thesnydes	88758887
thewanreport	25689448
thomaskaplan	31053563
time	14293310
timesopen	18941591
timestalks	50360181
todayshow	7744592
tombrokaw	342803375
tomcostellonbc	140863851
tomfeyer	26355341
tomgara	5845492
tomjolly	12685742
tomperrotta	20646524
tomwrightasia	52090363
tonybarboza	23144045
tracegallagher	42472972
treygraham	14345238
trymainelee	93963456
tstephenscbs	19741669
tvkatesnow	44397881
tvmarci	41747410
tylerkepner	46593413
tysone	5273561
ulabeast	15180898
usatoday	15754281
usatodaybooks	351084172
usatodaycollege	21405623
usatodaymoney	15764136
usatodaysports	15764001
usatodaytech	18164662
usatodaytravel	24016767
usatodayweather	15779216
usnews	6577642
usnewseducation	19616718
valeriestrauss	47348884
vgmac	60763047
vikasbajaj	33338729
vindugoel	10755542
vranicawsj	17033727
waltmossberg	5746452
wanderlust13	20414967
washingtonpost	2467791
washtimes	14662354
washtimesmike	24178193
washtimesoped	41207697
wendykoch	64515574
will_lyons	51011298
williamfleitch	19032103
williammwelch	16585122
willieneuman	16257487
wpnick	37564255
wrightups	17111646
wsj	3108351
wsjrock	24709803
wtcommunities	79218153
xocasgv	18807424
xtinatini	243822289
yamiche	89887215
your_money	19787000
zackwhittaker	15752235
zbyronwolf	59130623
zekejmiller	21316253
zinsernyt	31203136
dhume01	NA
